Id	Desc	BuildingType	Name	Level	Description	Icon	Res	Prosperity	NeedBuilding1	NeedBuilding2	NeedBuilding3	NeedProsperity	NeedTime	NeedStone	NeedGold	NeedIron	NeedFood
53		2	城墙	23	城墙跟着城堡升级喽			23	22	0	0	0	480	1000	1000	0	0
54		2	城墙	24	城墙跟着城堡升级喽			24	23	0	0	0	540	1000	1000	0	0
55		2	城墙	25	城墙跟着城堡升级喽			25	24	0	0	0	840	1000	1000	0	0
56		2	城墙	26	城墙跟着城堡升级喽			26	25	0	0	0	1260	1000	1000	0	0
57		2	城墙	27	城墙跟着城堡升级喽			27	26	0	0	0	1800	1000	1000	0	0
58		2	城墙	28	城墙跟着城堡升级喽			28	27	0	0	0	1140	1000	1000	0	0
59		2	城墙	29	城墙跟着城堡升级喽			29	28	0	0	0	1980	1000	1000	0	0
60		2	城墙	30	城墙跟着城堡升级喽			30	29	0	0	0	1620	1000	1000	0	0
61		3	仓库	1	提升仓库等级，可存储更多资源			1	0	0	0	0	0	1000	1000	0	0
62		3	仓库	2	提升仓库等级，可存储更多资源			2	0	0	0	0	300	1000	1000	0	0
63		3	仓库	3	提升仓库等级，可存储更多资源			3	0	0	0	0	900	1000	1000	0	0
64		3	仓库	4	提升仓库等级，可存储更多资源			4	0	0	0	0	2700	1000	1000	0	0
65		3	仓库	5	提升仓库等级，可存储更多资源			5	0	0	0	0	1860	1000	1000	0	0
66		3	仓库	6	提升仓库等级，可存储更多资源			6	0	0	0	0	240	1000	1000	0	0
67		3	仓库	7	提升仓库等级，可存储更多资源			7	0	0	0	0	360	1000	1000	0	0
68		3	仓库	8	提升仓库等级，可存储更多资源			8	0	0	0	0	540	1000	1000	0	0
69		3	仓库	9	提升仓库等级，可存储更多资源			9	0	0	0	0	720	1000	1000	0	0
70		3	仓库	10	提升仓库等级，可存储更多资源			10	0	0	0	0	1020	1000	1000	0	0
71		3	仓库	11	提升仓库等级，可存储更多资源			11	0	0	0	0	1320	1000	1000	0	0
72		3	仓库	12	提升仓库等级，可存储更多资源			12	0	0	0	0	300	1000	1000	0	0
73		3	仓库	13	提升仓库等级，可存储更多资源			13	0	0	0	0	660	1000	1000	0	0
74		3	仓库	14	提升仓库等级，可存储更多资源			14	0	0	0	0	1260	1000	1000	0	0
75		3	仓库	15	提升仓库等级，可存储更多资源			15	0	0	0	0	480	1000	1000	0	0
76		3	仓库	16	提升仓库等级，可存储更多资源			16	0	0	0	0	1140	1000	1000	0	0
77		3	仓库	17	提升仓库等级，可存储更多资源			17	0	0	0	0	540	1000	1000	0	0
78		3	仓库	18	提升仓库等级，可存储更多资源			18	0	0	0	0	240	1000	1000	0	0
79		3	仓库	19	提升仓库等级，可存储更多资源			19	0	0	0	0	960	1000	1000	0	0
80		3	仓库	20	提升仓库等级，可存储更多资源			20	0	0	0	0	660	1000	1000	0	0
81		3	仓库	21	提升仓库等级，可存储更多资源			21	0	0	0	0	360	1000	1000	0	0
82		3	仓库	22	提升仓库等级，可存储更多资源			22	0	0	0	0	420	1000	1000	0	0
83		3	仓库	23	提升仓库等级，可存储更多资源			23	0	0	0	0	480	1000	1000	0	0
84		3	仓库	24	提升仓库等级，可存储更多资源			24	0	0	0	0	540	1000	1000	0	0
85		3	仓库	25	提升仓库等级，可存储更多资源			25	0	0	0	0	840	1000	1000	0	0
86		3	仓库	26	提升仓库等级，可存储更多资源			26	0	0	0	0	1260	1000	1000	0	0
87		3	仓库	27	提升仓库等级，可存储更多资源			27	0	0	0	0	1800	1000	1000	0	0
88		3	仓库	28	提升仓库等级，可存储更多资源			28	0	0	0	0	1140	1000	1000	0	0
89		3	仓库	29	提升仓库等级，可存储更多资源			29	0	0	0	0	1980	1000	1000	0	0
90		3	仓库	30	提升仓库等级，可存储更多资源			30	0	0	0	0	1620	1000	1000	0	0
91		4	战利品仓库	1	战利品仓库升级，提高战利品导入仓库的速度			1	0	0	0	0	0	1000	1000	0	0
92		4	战利品仓库	2	战利品仓库升级，提高战利品导入仓库的速度			2	0	0	0	0	300	1000	1000	0	0
93		4	战利品仓库	3	战利品仓库升级，提高战利品导入仓库的速度			3	0	0	0	0	900	1000	1000	0	0
94		4	战利品仓库	4	战利品仓库升级，提高战利品导入仓库的速度			4	0	0	0	0	2700	1000	1000	0	0
95		4	战利品仓库	5	战利品仓库升级，提高战利品导入仓库的速度			5	0	0	0	0	1860	1000	1000	0	0
96		4	战利品仓库	6	战利品仓库升级，提高战利品导入仓库的速度			6	0	0	0	0	240	1000	1000	0	0
97		4	战利品仓库	7	战利品仓库升级，提高战利品导入仓库的速度			7	0	0	0	0	360	1000	1000	0	0
98		4	战利品仓库	8	战利品仓库升级，提高战利品导入仓库的速度			8	0	0	0	0	540	1000	1000	0	0
99		4	战利品仓库	9	战利品仓库升级，提高战利品导入仓库的速度			9	0	0	0	0	720	1000	1000	0	0
100		4	战利品仓库	10	战利品仓库升级，提高战利品导入仓库的速度			10	0	0	0	0	1020	1000	1000	0	0
101		4	战利品仓库	11	战利品仓库升级，提高战利品导入仓库的速度			11	0	0	0	0	1320	1000	1000	0	0
102		4	战利品仓库	12	战利品仓库升级，提高战利品导入仓库的速度			12	0	0	0	0	300	1000	1000	0	0
103		4	战利品仓库	13	战利品仓库升级，提高战利品导入仓库的速度			13	0	0	0	0	660	1000	1000	0	0
104		4	战利品仓库	14	战利品仓库升级，提高战利品导入仓库的速度			14	0	0	0	0	1260	1000	1000	0	0
105		4	战利品仓库	15	战利品仓库升级，提高战利品导入仓库的速度			15	0	0	0	0	480	1000	1000	0	0
106		4	战利品仓库	16	战利品仓库升级，提高战利品导入仓库的速度			16	0	0	0	0	1140	1000	1000	0	0
107		4	战利品仓库	17	战利品仓库升级，提高战利品导入仓库的速度			17	0	0	0	0	540	1000	1000	0	0
108		4	战利品仓库	18	战利品仓库升级，提高战利品导入仓库的速度			18	0	0	0	0	240	1000	1000	0	0
109		4	战利品仓库	19	战利品仓库升级，提高战利品导入仓库的速度			19	0	0	0	0	960	1000	1000	0	0
110		4	战利品仓库	20	战利品仓库升级，提高战利品导入仓库的速度			20	0	0	0	0	660	1000	1000	0	0
111		4	战利品仓库	21	战利品仓库升级，提高战利品导入仓库的速度			21	0	0	0	0	360	1000	1000	0	0
112		4	战利品仓库	22	战利品仓库升级，提高战利品导入仓库的速度			22	0	0	0	0	420	1000	1000	0	0
113		4	战利品仓库	23	战利品仓库升级，提高战利品导入仓库的速度			23	0	0	0	0	480	1000	1000	0	0
114		4	战利品仓库	24	战利品仓库升级，提高战利品导入仓库的速度			24	0	0	0	0	540	1000	1000	0	0
115		4	战利品仓库	25	战利品仓库升级，提高战利品导入仓库的速度			25	0	0	0	0	840	1000	1000	0	0
116		4	战利品仓库	26	战利品仓库升级，提高战利品导入仓库的速度			26	0	0	0	0	1260	1000	1000	0	0
117		4	战利品仓库	27	战利品仓库升级，提高战利品导入仓库的速度			27	0	0	0	0	1800	1000	1000	0	0
118		4	战利品仓库	28	战利品仓库升级，提高战利品导入仓库的速度			28	0	0	0	0	1140	1000	1000	0	0
119		4	战利品仓库	29	战利品仓库升级，提高战利品导入仓库的速度			29	0	0	0	0	1980	1000	1000	0	0
120		4	战利品仓库	30	战利品仓库升级，提高战利品导入仓库的速度			30	0	0	0	0	1620	1000	1000	0	0
121	采石场1	5	采石场	1	第一个采石场，生产石料			1	0	0	0	0	0	1000	1000	0	0
122	采石场1	5	采石场	2	第一个采石场，生产石料			2	0	0	0	0	300	1000	1000	0	0
123	采石场1	5	采石场	3	第一个采石场，生产石料			3	0	0	0	0	900	1000	1000	0	0
124	采石场1	5	采石场	4	第一个采石场，生产石料			4	0	0	0	0	2700	1000	1000	0	0
125	采石场1	5	采石场	5	第一个采石场，生产石料			5	0	0	0	0	1860	1000	1000	0	0
126	采石场1	5	采石场	6	第一个采石场，生产石料			6	0	0	0	0	240	1000	1000	0	0
127	采石场1	5	采石场	7	第一个采石场，生产石料			7	0	0	0	0	360	1000	1000	0	0
128	采石场1	5	采石场	8	第一个采石场，生产石料			8	0	0	0	0	540	1000	1000	0	0
129	采石场1	5	采石场	9	第一个采石场，生产石料			9	0	0	0	0	720	1000	1000	0	0
130	采石场1	5	采石场	10	第一个采石场，生产石料			10	0	0	0	0	1020	1000	1000	0	0
131	采石场1	5	采石场	11	第一个采石场，生产石料			11	0	0	0	0	1320	1000	1000	0	0
132	采石场1	5	采石场	12	第一个采石场，生产石料			12	0	0	0	0	300	1000	1000	0	0
133	采石场1	5	采石场	13	第一个采石场，生产石料			13	0	0	0	0	660	1000	1000	0	0
134	采石场1	5	采石场	14	第一个采石场，生产石料			14	0	0	0	0	1260	1000	1000	0	0
135	采石场1	5	采石场	15	第一个采石场，生产石料			15	0	0	0	0	480	1000	1000	0	0
136	采石场1	5	采石场	16	第一个采石场，生产石料			16	0	0	0	0	1140	1000	1000	0	0
137	采石场1	5	采石场	17	第一个采石场，生产石料			17	0	0	0	0	540	1000	1000	0	0
138	采石场1	5	采石场	18	第一个采石场，生产石料			18	0	0	0	0	240	1000	1000	0	0
139	采石场1	5	采石场	19	第一个采石场，生产石料			19	0	0	0	0	960	1000	1000	0	0
140	采石场1	5	采石场	20	第一个采石场，生产石料			20	0	0	0	0	660	1000	1000	0	0
141	采石场1	5	采石场	21	第一个采石场，生产石料			21	0	0	0	0	360	1000	1000	0	0
142	采石场1	5	采石场	22	第一个采石场，生产石料			22	0	0	0	0	420	1000	1000	0	0
143	采石场1	5	采石场	23	第一个采石场，生产石料			23	0	0	0	0	480	1000	1000	0	0
144	采石场1	5	采石场	24	第一个采石场，生产石料			24	0	0	0	0	540	1000	1000	0	0
145	采石场1	5	采石场	25	第一个采石场，生产石料			25	0	0	0	0	840	1000	1000	0	0
146	采石场1	5	采石场	26	第一个采石场，生产石料			26	0	0	0	0	1260	1000	1000	0	0
147	采石场1	5	采石场	27	第一个采石场，生产石料			27	0	0	0	0	1800	1000	1000	0	0
148	采石场1	5	采石场	28	第一个采石场，生产石料			28	0	0	0	0	1140	1000	1000	0	0
149	采石场1	5	采石场	29	第一个采石场，生产石料			29	0	0	0	0	1980	1000	1000	0	0
150	采石场1	5	采石场	30	第一个采石场，生产石料			30	0	0	0	0	1620	1000	1000	0	0
151	采石场2	6	采石场	1	第2个采石场，生产石料			1	0	0	0	0	0	1000	1000	0	0
152	采石场2	6	采石场	2	第2个采石场，生产石料			2	0	0	0	0	300	1000	1000	0	0
153	采石场2	6	采石场	3	第2个采石场，生产石料			3	0	0	0	0	900	1000	1000	0	0
154	采石场2	6	采石场	4	第2个采石场，生产石料			4	0	0	0	0	2700	1000	1000	0	0
155	采石场2	6	采石场	5	第2个采石场，生产石料			5	0	0	0	0	1860	1000	1000	0	0
156	采石场2	6	采石场	6	第2个采石场，生产石料			6	0	0	0	0	240	1000	1000	0	0
157	采石场2	6	采石场	7	第2个采石场，生产石料			7	0	0	0	0	360	1000	1000	0	0
158	采石场2	6	采石场	8	第2个采石场，生产石料			8	0	0	0	0	540	1000	1000	0	0
159	采石场2	6	采石场	9	第2个采石场，生产石料			9	0	0	0	0	720	1000	1000	0	0
160	采石场2	6	采石场	10	第2个采石场，生产石料			10	0	0	0	0	1020	1000	1000	0	0
161	采石场2	6	采石场	11	第2个采石场，生产石料			11	0	0	0	0	1320	1000	1000	0	0
162	采石场2	6	采石场	12	第2个采石场，生产石料			12	0	0	0	0	300	1000	1000	0	0
163	采石场2	6	采石场	13	第2个采石场，生产石料			13	0	0	0	0	660	1000	1000	0	0
164	采石场2	6	采石场	14	第2个采石场，生产石料			14	0	0	0	0	1260	1000	1000	0	0
165	采石场2	6	采石场	15	第2个采石场，生产石料			15	0	0	0	0	480	1000	1000	0	0
166	采石场2	6	采石场	16	第2个采石场，生产石料			16	0	0	0	0	1140	1000	1000	0	0
167	采石场2	6	采石场	17	第2个采石场，生产石料			17	0	0	0	0	540	1000	1000	0	0
168	采石场2	6	采石场	18	第2个采石场，生产石料			18	0	0	0	0	240	1000	1000	0	0
169	采石场2	6	采石场	19	第2个采石场，生产石料			19	0	0	0	0	960	1000	1000	0	0
170	采石场2	6	采石场	20	第2个采石场，生产石料			20	0	0	0	0	660	1000	1000	0	0
171	采石场2	6	采石场	21	第2个采石场，生产石料			21	0	0	0	0	360	1000	1000	0	0
172	采石场2	6	采石场	22	第2个采石场，生产石料			22	0	0	0	0	420	1000	1000	0	0
173	采石场2	6	采石场	23	第2个采石场，生产石料			23	0	0	0	0	480	1000	1000	0	0
174	采石场2	6	采石场	24	第2个采石场，生产石料			24	0	0	0	0	540	1000	1000	0	0
175	采石场2	6	采石场	25	第2个采石场，生产石料			25	0	0	0	0	840	1000	1000	0	0
176	采石场2	6	采石场	26	第2个采石场，生产石料			26	0	0	0	0	1260	1000	1000	0	0
177	采石场2	6	采石场	27	第2个采石场，生产石料			27	0	0	0	0	1800	1000	1000	0	0
178	采石场2	6	采石场	28	第2个采石场，生产石料			28	0	0	0	0	1140	1000	1000	0	0
179	采石场2	6	采石场	29	第2个采石场，生产石料			29	0	0	0	0	1980	1000	1000	0	0
180	采石场2	6	采石场	30	第2个采石场，生产石料			30	0	0	0	0	1620	1000	1000	0	0
181	采石场3	7	采石场	1	第三个采石场，生产石料			1	0	0	0	0	0	1000	1000	0	0
182	采石场3	7	采石场	2	第三个采石场，生产石料			2	0	0	0	0	300	1000	1000	0	0
183	采石场3	7	采石场	3	第三个采石场，生产石料			3	0	0	0	0	900	1000	1000	0	0
184	采石场3	7	采石场	4	第三个采石场，生产石料			4	0	0	0	0	2700	1000	1000	0	0
185	采石场3	7	采石场	5	第三个采石场，生产石料			5	0	0	0	0	1860	1000	1000	0	0
186	采石场3	7	采石场	6	第三个采石场，生产石料			6	0	0	0	0	240	1000	1000	0	0
187	采石场3	7	采石场	7	第三个采石场，生产石料			7	0	0	0	0	360	1000	1000	0	0
188	采石场3	7	采石场	8	第三个采石场，生产石料			8	0	0	0	0	540	1000	1000	0	0
189	采石场3	7	采石场	9	第三个采石场，生产石料			9	0	0	0	0	720	1000	1000	0	0
190	采石场3	7	采石场	10	第三个采石场，生产石料			10	0	0	0	0	1020	1000	1000	0	0
191	采石场3	7	采石场	11	第三个采石场，生产石料			11	0	0	0	0	1320	1000	1000	0	0
192	采石场3	7	采石场	12	第三个采石场，生产石料			12	0	0	0	0	300	1000	1000	0	0
193	采石场3	7	采石场	13	第三个采石场，生产石料			13	0	0	0	0	660	1000	1000	0	0
194	采石场3	7	采石场	14	第三个采石场，生产石料			14	0	0	0	0	1260	1000	1000	0	0
195	采石场3	7	采石场	15	第三个采石场，生产石料			15	0	0	0	0	480	1000	1000	0	0
196	采石场3	7	采石场	16	第三个采石场，生产石料			16	0	0	0	0	1140	1000	1000	0	0
197	采石场3	7	采石场	17	第三个采石场，生产石料			17	0	0	0	0	540	1000	1000	0	0
198	采石场3	7	采石场	18	第三个采石场，生产石料			18	0	0	0	0	240	1000	1000	0	0
199	采石场3	7	采石场	19	第三个采石场，生产石料			19	0	0	0	0	960	1000	1000	0	0
200	采石场3	7	采石场	20	第三个采石场，生产石料			20	0	0	0	0	660	1000	1000	0	0
201	采石场3	7	采石场	21	第三个采石场，生产石料			21	0	0	0	0	360	1000	1000	0	0
202	采石场3	7	采石场	22	第三个采石场，生产石料			22	0	0	0	0	420	1000	1000	0	0
203	采石场3	7	采石场	23	第三个采石场，生产石料			23	0	0	0	0	480	1000	1000	0	0
204	采石场3	7	采石场	24	第三个采石场，生产石料			24	0	0	0	0	540	1000	1000	0	0
205	采石场3	7	采石场	25	第三个采石场，生产石料			25	0	0	0	0	840	1000	1000	0	0
206	采石场3	7	采石场	26	第三个采石场，生产石料			26	0	0	0	0	1260	1000	1000	0	0
207	采石场3	7	采石场	27	第三个采石场，生产石料			27	0	0	0	0	1800	1000	1000	0	0
208	采石场3	7	采石场	28	第三个采石场，生产石料			28	0	0	0	0	1140	1000	1000	0	0
209	采石场3	7	采石场	29	第三个采石场，生产石料			29	0	0	0	0	1980	1000	1000	0	0
210	采石场3	7	采石场	30	第三个采石场，生产石料			30	0	0	0	0	1620	1000	1000	0	0
211	采石场4	8	采石场	1	第4个采石场，生产石料			1	0	0	0	0	0	1000	1000	0	0
212	采石场4	8	采石场	2	第4个采石场，生产石料			2	0	0	0	0	300	1000	1000	0	0
213	采石场4	8	采石场	3	第4个采石场，生产石料			3	0	0	0	0	900	1000	1000	0	0
214	采石场4	8	采石场	4	第4个采石场，生产石料			4	0	0	0	0	2700	1000	1000	0	0
215	采石场4	8	采石场	5	第4个采石场，生产石料			5	0	0	0	0	1860	1000	1000	0	0
216	采石场4	8	采石场	6	第4个采石场，生产石料			6	0	0	0	0	240	1000	1000	0	0
217	采石场4	8	采石场	7	第4个采石场，生产石料			7	0	0	0	0	360	1000	1000	0	0
218	采石场4	8	采石场	8	第4个采石场，生产石料			8	0	0	0	0	540	1000	1000	0	0
219	采石场4	8	采石场	9	第4个采石场，生产石料			9	0	0	0	0	720	1000	1000	0	0
220	采石场4	8	采石场	10	第4个采石场，生产石料			10	0	0	0	0	1020	1000	1000	0	0
221	采石场4	8	采石场	11	第4个采石场，生产石料			11	0	0	0	0	1320	1000	1000	0	0
222	采石场4	8	采石场	12	第4个采石场，生产石料			12	0	0	0	0	300	1000	1000	0	0
223	采石场4	8	采石场	13	第4个采石场，生产石料			13	0	0	0	0	660	1000	1000	0	0
224	采石场4	8	采石场	14	第4个采石场，生产石料			14	0	0	0	0	1260	1000	1000	0	0
225	采石场4	8	采石场	15	第4个采石场，生产石料			15	0	0	0	0	480	1000	1000	0	0
226	采石场4	8	采石场	16	第4个采石场，生产石料			16	0	0	0	0	1140	1000	1000	0	0
227	采石场4	8	采石场	17	第4个采石场，生产石料			17	0	0	0	0	540	1000	1000	0	0
228	采石场4	8	采石场	18	第4个采石场，生产石料			18	0	0	0	0	240	1000	1000	0	0
229	采石场4	8	采石场	19	第4个采石场，生产石料			19	0	0	0	0	960	1000	1000	0	0
230	采石场4	8	采石场	20	第4个采石场，生产石料			20	0	0	0	0	660	1000	1000	0	0
231	采石场4	8	采石场	21	第4个采石场，生产石料			21	0	0	0	0	360	1000	1000	0	0
232	采石场4	8	采石场	22	第4个采石场，生产石料			22	0	0	0	0	420	1000	1000	0	0
233	采石场4	8	采石场	23	第4个采石场，生产石料			23	0	0	0	0	480	1000	1000	0	0
234	采石场4	8	采石场	24	第4个采石场，生产石料			24	0	0	0	0	540	1000	1000	0	0
235	采石场4	8	采石场	25	第4个采石场，生产石料			25	0	0	0	0	840	1000	1000	0	0
236	采石场4	8	采石场	26	第4个采石场，生产石料			26	0	0	0	0	1260	1000	1000	0	0
237	采石场4	8	采石场	27	第4个采石场，生产石料			27	0	0	0	0	1800	1000	1000	0	0
238	采石场4	8	采石场	28	第4个采石场，生产石料			28	0	0	0	0	1140	1000	1000	0	0
239	采石场4	8	采石场	29	第4个采石场，生产石料			29	0	0	0	0	1980	1000	1000	0	0
240	采石场4	8	采石场	30	第4个采石场，生产石料			30	0	0	0	0	1620	1000	1000	0	0
241	采石场5	9	采石场	1	第五个采石场，生产石料			1	0	0	0	0	0	1000	1000	0	0
242	采石场5	9	采石场	2	第五个采石场，生产石料			2	0	0	0	0	300	1000	1000	0	0
243	采石场5	9	采石场	3	第五个采石场，生产石料			3	0	0	0	0	900	1000	1000	0	0
244	采石场5	9	采石场	4	第五个采石场，生产石料			4	0	0	0	0	2700	1000	1000	0	0
245	采石场5	9	采石场	5	第五个采石场，生产石料			5	0	0	0	0	1860	1000	1000	0	0
246	采石场5	9	采石场	6	第五个采石场，生产石料			6	0	0	0	0	240	1000	1000	0	0
247	采石场5	9	采石场	7	第五个采石场，生产石料			7	0	0	0	0	360	1000	1000	0	0
248	采石场5	9	采石场	8	第五个采石场，生产石料			8	0	0	0	0	540	1000	1000	0	0
249	采石场5	9	采石场	9	第五个采石场，生产石料			9	0	0	0	0	720	1000	1000	0	0
250	采石场5	9	采石场	10	第五个采石场，生产石料			10	0	0	0	0	1020	1000	1000	0	0
251	采石场5	9	采石场	11	第五个采石场，生产石料			11	0	0	0	0	1320	1000	1000	0	0
252	采石场5	9	采石场	12	第五个采石场，生产石料			12	0	0	0	0	300	1000	1000	0	0
253	采石场5	9	采石场	13	第五个采石场，生产石料			13	0	0	0	0	660	1000	1000	0	0
254	采石场5	9	采石场	14	第五个采石场，生产石料			14	0	0	0	0	1260	1000	1000	0	0
255	采石场5	9	采石场	15	第五个采石场，生产石料			15	0	0	0	0	480	1000	1000	0	0
256	采石场5	9	采石场	16	第五个采石场，生产石料			16	0	0	0	0	1140	1000	1000	0	0
257	采石场5	9	采石场	17	第五个采石场，生产石料			17	0	0	0	0	540	1000	1000	0	0
258	采石场5	9	采石场	18	第五个采石场，生产石料			18	0	0	0	0	240	1000	1000	0	0
259	采石场5	9	采石场	19	第五个采石场，生产石料			19	0	0	0	0	960	1000	1000	0	0
260	采石场5	9	采石场	20	第五个采石场，生产石料			20	0	0	0	0	660	1000	1000	0	0
261	采石场5	9	采石场	21	第五个采石场，生产石料			21	0	0	0	0	360	1000	1000	0	0
262	采石场5	9	采石场	22	第五个采石场，生产石料			22	0	0	0	0	420	1000	1000	0	0
263	采石场5	9	采石场	23	第五个采石场，生产石料			23	0	0	0	0	480	1000	1000	0	0
264	采石场5	9	采石场	24	第五个采石场，生产石料			24	0	0	0	0	540	1000	1000	0	0
265	采石场5	9	采石场	25	第五个采石场，生产石料			25	0	0	0	0	840	1000	1000	0	0
266	采石场5	9	采石场	26	第五个采石场，生产石料			26	0	0	0	0	1260	1000	1000	0	0
267	采石场5	9	采石场	27	第五个采石场，生产石料			27	0	0	0	0	1800	1000	1000	0	0
268	采石场5	9	采石场	28	第五个采石场，生产石料			28	0	0	0	0	1140	1000	1000	0	0
269	采石场5	9	采石场	29	第五个采石场，生产石料			29	0	0	0	0	1980	1000	1000	0	0
270	采石场5	9	采石场	30	第五个采石场，生产石料			30	0	0	0	0	1620	1000	1000	0	0
271	采石场6	10	采石场	1	第6个采石场，生产石料			1	0	0	0	0	0	1000	1000	0	0
272	采石场6	10	采石场	2	第6个采石场，生产石料			2	0	0	0	0	300	1000	1000	0	0
273	采石场6	10	采石场	3	第6个采石场，生产石料			3	0	0	0	0	900	1000	1000	0	0
